
// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Upper
//    2: Middle
//    3: Lower
//    4: M-L
//    5: U-M
//    6: U-M-L
//    7: Other
//
// Price:
// Item cost, in cash points (#CASHPOINTS).

0,40010,500
0,40011,500
0,40012,500
0,40013,500
0,40014,500
0,40015,500

1,20100,500
1,19521,500
1,19517,500
1,20127,500
1,19581,500
1,19716,500
1,19827,500
1,19934,500
1,20435,500
1,20316,500
1,20398,500
1,31160,500
1,20028,500
1,20026,500
1,19660,500
1,19836,500
1,19824,500
1,20214,500
1,19545,500
1,19786,500

2,19509,500
2,20221,500
2,20461,500
2,19954,500
2,20399,500
2,19722,500
2,20142,500

3,20462,500
3,20405,500
3,31057,500
3,19785,500

4,20195,750
4,19882,750

5,20183,750
5,20392,750
5,19864,750
5,19823,750
5,19598,750
5,20194,750
5,19574,750

6,20070,1000
6,20234,1000
6,19746,1000
6,20206,1000
6,20210,1000
6,20211,1000
6,20300,1000
6,19996,1000
6,19743,1000

7,35390,500
7,35391,500
7,35392,500
7,35393,500
7,35394,500
7,35395,500
7,35396,500
7,35397,500
7,35398,500
7,35399,500
7,35400,500
7,35402,500
7,35403,500
7,35404,500
7,35405,500
7,35406,500
7,35407,500
7,35408,500
7,35409,500
7,35410,500

